business_id,nome,cnpj,categoria,setor,cidade,estado,endereco,data_abertura,num_funcionarios,email,telefone,data_ingestao
BUS0001,Top Salão De Beleza Executivo,18196001338900,BELEZA,Beleza & Estética,Goiânia,GO,"Rua das Flores, 584",2006-12-21,70,contato@topsalãodebelezaexecutivo.com.br,(64) 4805-8359,2026-08-03 22:39:15
BUS0002,Doce Assessoria De Crédito Popular,54235116155922,SERVICOS,Serviços Financeiros,Manaus,AM,"Rua XV de Novembro, 836",2001-12-15,69,contato@doceassessoriadecréditopopular.com.br,(26) 6100-2291,2026-08-03 22:39:15
BUS0003,Global Banho & Tosa Vip,10341316475204,PET,Pet,Vitória,ES,"Rua das Palmeiras, 373",2006-11-09,10,contato@globalbanhotosavip.com.br,(88) 8201-3803,2026-08-03 22:39:15
BUS0004,Prime Veterinária Me,,PET,Pet,Curitiba,PR,"Rua das Palmeiras, 227",2020-08-13,59,contato@primeveterináriame.com.br,(29) 5169-3287,2026-08-03 22:39:15
BUS0005,Nova Lava-Rápido Express,69653287101261,AUTOMOTIVO,Oficinas & Automotivo,Brasília,DF,"Rua 7 de Setembro, 821",2021-07-20,9,contato@novalava-rápidoexpress.com.br,(60) 6126-8668,2026-08-03 22:39:15
BUS0006,Doce Banho & Tosa Premium,84514627048277,PET,Pet,Brasília,DF,"Av. Rio Branco, 944",2003-11-10,65,contato@docebanhotosapremium.com.br,(88) 4629-3504,2026-08-03 22:39:15
BUS0007,Nova Boutique Mais,70154303911767,VAREJO,Varejo & Moda,Brasília,DF,"Av. Central, 788",2017-03-05,61,contato@novaboutiquemais.com.br,(81) 4352-5342,2026-08-03 22:39:15
BUS0008,Ideal Veterinária Executivo,65787133150920,PET,Pet,Recife,PE,"Av. Rio Branco, 245",2018-04-01,10,contato@idealveterináriaexecutivo.com.br,(91) 3482-4750,2026-08-03 22:39:15
BUS0009,Master Salão De Beleza Premium,47382997376368,BELEZA,Beleza & Estética,Vitória,ES,"Av. Central, 109",2021-07-12,55,contato@mastersalãodebelezapremium.com.br,(63) 6825-1887,2026-08-03 22:39:15
BUS0010,Casa Salão De Beleza Vip,13338726247313,BELEZA,Beleza & Estética,Recife,PE,"Av. Central, 463",2017-02-02,70,contato@casasalãodebelezavip.com.br,(12) 3764-4872,2026-08-03 22:39:15
BUS0011,Real Studio De Pilates Executivo,02606474687234,SAUDE,Saúde & Fitness,Fortaleza,CE,"Av. Paulista, 313",2006-01-19,70,contato@realstudiodepilatesexecutivo.com.br,(18) 9127-6138,2026-08-03 22:39:15
BUS0012,Casa Escola De Idiomas Me,81219136193990,RESTAURANTES,Alimentação,Campinas,SP,"Rua Sete de Abril, 50",2019-02-14,75,contato@realpadariapopular.com.br,(83) 7282-6183,2026-08-03 22:39:15
BUS0013,Casa Consultoria De Ti Vip,62475107991182,TECNOLOGIA,Tecnologia,Florianópolis,SC,"Av. Rio Branco, 228",2016-05-05,45,contato@casaconsultoriadetivip.com.br,(19) 5001-7054,2026-08-03 22:39:15
BUS0014,Nova Consultoria De Ti Express,80841241182454,TECNOLOGIA,Tecnologia,Fortaleza,CE,"Rua XV de Novembro, 629",2006-12-11,27,contato@novaconsultoriadetiexpress.com.br,(98) 8195-5325,2026-08-03 22:39:15
BUS0015,Doce Banho & Tosa Premium,40052427868077,PET,Pet,Porto Alegre,RS,"Av. Central, 87",2022-03-18,5,contato@docebanhotosapremium.com.br,(58) 7771-3426,2026-08-03 22:39:15
BUS0016,Top Escola De Idiomas Vip,05331586923205,EDUCACAO,Educação,São Paulo,SP,"Rua 7 de Setembro, 912",2013-01-06,43,contato@topescoladeidiomasvip.com.br,(63) 9571-5065,2026-08-03 22:39:15
BUS0017,Casa Consultoria De Ti Premium,07337543303639,TECNOLOGIA,Tecnologia,Manaus,AM,"Rua das Palmeiras, 295",2002-05-12,66,contato@casaconsultoriadetipremium.com.br,(62) 8566-9785,2026-08-03 22:39:15
BUS0018,Top Boutique Popular,40196556981609,VAREJO,Varejo & Moda,Rio de Janeiro,RJ,"Rua Sete de Abril, 204",2008-01-23,56,contato@topboutiquepopular.com.br,(11) 7259-9821,2026-08-03 22:39:15
BUS0019,Bom Auto Peças Vip,14846564823649,AUTOMOTIVO,Oficinas & Automotivo,Recife,PE,"Av. Brasil, 703",2023-03-20,73,contato@bomautopeçasvip.com.br,(49) 6326-9977,2026-08-03 22:39:15
BUS0020,Ideal Pizzaria Ltda,95777387214837,RESTAURANTES,Alimentação,Porto Alegre,RS,"Rua Sete de Abril, 353",2002-04-22,40,contato@idealpizzarialtda.com.br,(39) 9607-4262,2026-08-03 22:39:15
BUS0021,Ideal Academia Me,17693676320105,SAUDE,Saúde & Fitness,São Paulo,SP,"Av. Brasil, 234",2005-12-17,60,contato@idealacademiame.com.br,(17) 7566-5082,2026-08-03 22:39:15
BUS0022,Real Barbearia Vip,79868727743440,BELEZA,Beleza & Estética,Belo Horizonte,MG,"Av. Rio Branco, 506",2020-04-09,57,contato@realbarbeariavip.com.br,(20) 8845-5681,2026-08-03 22:39:15
BUS0023,Master Auto Peças Premium,36231665876091,AUTOMOTIVO,Oficinas & Automotivo,Salvador,BA,"Av. Paulista, 862",2013-07-25,75,contato@masterautopeçaspremium.com.br,(13) 9271-7232,2026-08-03 22:39:15
BUS0024,Top Imobiliária Ltda,68893734670666,CASA,Casa & Reformas,Salvador,BA,"Rua das Palmeiras, 694",2021-07-24,22,contato@topimobiliárialtda.com.br,(70) 4045-9751,2026-08-03 22:39:15
BUS0025,Alfa Hamburgueria Mais,62720465375577,RESTAURANTES,Alimentação,Campinas,SP,"Av. Brasil, 294",2024-07-09,11,contato@alfahamburgueriamais.com.br,(71) 3158-9837,2026-08-03 22:39:15
BUS0026,Global Pizzaria Premium,00330923271997,RESTAURANTES,Alimentação,Curitiba,PR,"Av. Paulista, 486",2022-05-25,48,contato@globalpizzariapremium.com.br,(32) 7963-2876,2026-08-03 22:39:15
BUS0027,Alfa Studio De Pilates Mais,96631931491985,SAUDE,Saúde & Fitness,Rio de Janeiro,RJ,"Rua das Flores, 365",2017-07-22,48,contato@alfastudiodepilatesmais.com.br,(19) 7144-6590,2026-08-03 22:39:15
BUS0028,Real Hamburgueria Premium,57262849877656,RESTAURANTES,Alimentação,Vitória,ES,"Rua Sete de Abril, 284",2010-04-27,12,contato@realhamburgueriapremium.com.br,(46) 6692-4995,2026-08-03 22:39:15
BUS0029,Global Pinturas Ltda,75273545494823,CASA,Casa & Reformas,Campinas,SP,"Rua das Flores, 539",2006-02-08,53,contato@globalpinturasltda.com.br,(73) 7548-4937,2026-08-03 22:39:15
BUS0030,Real Pinturas Me,14363495788523,CASA,Casa & Reformas,Goiânia,GO,"Av. Brasil, 773",2017-06-12,59,contato@realpinturasme.com.br,(45) 5511-5118,2026-08-03 22:39:15
BUS0031,Ideal Oficina Mecânica Vip,82337498941324,AUTOMOTIVO,Oficinas & Automotivo,Goiânia,GO,"Rua XV de Novembro, 242",2011-03-10,2,contato@idealoficinamecânicavip.com.br,(79) 4036-5494,2026-08-03 22:39:15
BUS0032,Top Padaria Popular,71094777520457,RESTAURANTES,Alimentação,Brasília,DF,"Rua do Comércio, 126",2002-07-16,10,contato@toppadariapopular.com.br,(84) 8156-1878,2026-08-03 22:39:15
BUS0033,Alfa Academia Express,31869993867780,SAUDE,Saúde & Fitness,Manaus,AM,"Rua XV de Novembro, 890",2018-07-10,73,contato@alfaacademiaexpress.com.br,(90) 3493-2625,2026-08-03 22:39:15
BUS0034,Top Lava-Rápido Premium,28120679740370,AUTOMOTIVO,Oficinas & Automotivo,Curitiba,PR,"Rua XV de Novembro, 733",2009-12-28,59,contato@toplava-rápidopremium.com.br,(20) 8631-4824,2026-08-03 22:39:15
BUS0035,Global Desenvolvimento Web Executivo,83242102499439,TECNOLOGIA,Tecnologia,Campinas,SP,"Rua do Comércio, 137",2014-12-10,52,contato@globaldesenvolvimentowebexecutivo.com.br,(45) 7099-9847,2026-08-03 22:39:15
BUS0036,Alfa Escritório De Arquitetura Mais,59401399049091,CASA,Casa & Reformas,Rio de Janeiro,RJ,"Rua 7 de Setembro, 491",2016-11-15,36,contato@alfaescritóriodearquiteturamais.com.br,(34) 7795-8141,2026-08-03 22:39:15
BUS0037,Master Imobiliária Ltda,12567468071596,CASA,Casa & Reformas,Fortaleza,CE,"Rua XV de Novembro, 341",2003-07-28,66,contato@masterimobiliárialtda.com.br,(11) 8387-9889,2026-08-03 22:39:15
BUS0038,Ideal Escritório De Arquitetura Vip,77034824771022,CASA,Casa & Reformas,São Paulo,SP,"Rua Sete de Abril, 828",2007-12-06,40,contato@idealescritóriodearquiteturavip.com.br,(81) 3112-7684,2026-08-03 22:39:15
BUS0039,Bom Salão De Beleza Me,27484677378274,BELEZA,Beleza & Estética,Vitória,ES,"Av. Brasil, 205",2019-09-24,18,contato@bomsalãodebelezame.com.br,(19) 5263-7798,2026-08-03 22:39:15
BUS0040,Doce Farmácia Express,99727875588626,VAREJO,Varejo & Moda,Porto Alegre,RS,"Rua do Comércio, 965",2010-04-23,31,contato@docefarmáciaexpress.com.br,(84) 6137-4826,2026-08-03 22:39:15
BUS0041,Casa Escola De Idiomas Me,66270289517110,EDUCACAO,Educação,Salvador,BA,"Av. Rio Branco, 942",2014-01-24,19,contato@casaescoladeidiomasme.com.br,(63) 8363-3529,2026-08-03 22:39:15
BUS0042,Top Barbearia Vip,61586578091374,BELEZA,Beleza & Estética,Manaus,AM,"Rua XV de Novembro, 242",2023-02-14,13,contato@topbarbeariavip.com.br,(92) 8766-2646,2026-08-03 22:39:15
BUS0043,Top Imobiliária Mais,04556238692280,CASA,Casa & Reformas,Goiânia,GO,"Rua 7 de Setembro, 90",2019-07-20,31,contato@topimobiliáriamais.com.br,(74) 7777-3344,2026-08-03 22:39:15
BUS0044,Top Auto Peças Me,07482175946459,AUTOMOTIVO,Oficinas & Automotivo,Florianópolis,SC,"Rua do Comércio, 875",2009-04-13,62,contato@topautopeçasme.com.br,(24) 4943-7248,2026-08-03 22:39:15
