business_key,receita_total,qtd_vendas,ticket_medio,avaliacao_media,ultima_venda,nome,categoria,cidade,estado,regiao
37,2624409.4369056746,9409,278.92543701835206,3.851122112211221,20260627,Master Imobiliária Ltda,CASA,Fortaleza,CE,NE
55,1686209.6769521385,7249,232.61272961127582,4.031432246998285,20260627,Ideal Clínica De Estética Premium,SAUDE,Fortaleza,CE,NE
59,1509018.0402501728,5054,298.5789553324442,3.936318816762531,20260627,Casa Barbearia Mais,BELEZA,Vitória,ES,SE
62,1414517.933289346,4990,283.4705277132958,4.042097641704593,20260627,Real Pet Shop Me,PET,Porto Alegre,RS,S
68,1410483.741214081,6530,216.00057292711807,4.2008731544689635,20260627,Real Salão De Beleza Vip,BELEZA,Vitória,ES,SE
70,1398098.4277260886,4877,286.6718121234547,4.343552156362864,20260627,Real Salão De Beleza Mais,BELEZA,Vitória,ES,SE
46,1395709.9131037658,4818,289.6865739111179,4.248143378407383,20260627,Alfa Loja De Informática Vip,TECNOLOGIA,São Paulo,SP,SE
48,1384694.0013179085,4877,283.9233137826345,4.101253718657033,20260627,Bom Contabilidade Me,SERVICOS,Florianópolis,SC,S
115,1378397.062874676,4915,280.4470117751121,4.329896471582506,20260627,Casa Veterinária Executivo,PET,Campinas,SP,SE
95,1355939.6440516058,4748,285.5812224203045,4.593522355507088,20260627,Real Lava-Rápido Premium,AUTOMOTIVO,Campinas,SP,SE
108,1355469.6153746173,4828,280.75178446035983,4.403779257032425,20260627,Master Studio De Sobrancelhas Mais,BELEZA,Goiânia,GO,CO
99,1341344.7238953426,4771,281.14540429581695,4.455383946051773,20260627,Prime Auto Peças Executivo,AUTOMOTIVO,Niterói,RJ,SE
117,1339683.8028241857,4680,286.2572228256807,4.382270606531882,20260627,Global Academia Ltda,SAUDE,Florianópolis,SC,S
19,1315256.1989967031,4651,282.78998043360633,3.6620613060861835,20260627,Bom Auto Peças Vip,AUTOMOTIVO,Recife,PE,NE
51,1313837.366381462,4782,274.74641706011334,3.944818596567456,20260627,Ideal Academia Vip,SAUDE,Salvador,BA,NE
57,1312653.6284718718,4822,272.2218225781568,4.43795025728988,20260627,Alfa Academia Mais,SAUDE,Manaus,AM,N
114,1259047.5024200345,4572,275.3822183770854,4.315049638989169,20260627,Casa Veterinária Ltda,PET,Niterói,RJ,SE
113,1248955.7128725678,4607,271.0995686721441,3.8399684755685657,20260627,Nova Clínica De Estética Mais,SAUDE,Manaus,AM,N
18,1245302.924380131,4599,270.77689158080693,4.078997076680908,20260627,Top Boutique Popular,VAREJO,Rio de Janeiro,RJ,SE
93,1218245.219749133,4382,278.01123225676247,4.499550402271652,20260627,Casa Desenvolvimento Web Executivo,TECNOLOGIA,Salvador,BA,NE
41,1198154.416449054,4426,270.7081826590723,3.747906976744186,20260627,Casa Escola De Idiomas Me,EDUCACAO,Salvador,BA,NE
11,1193345.369388062,4404,270.96852165941465,4.414908579465542,20260627,Real Studio De Pilates Executivo,SAUDE,Fortaleza,CE,NE
82,1159986.4622238001,4425,262.1438332709153,4.220410543503616,20260627,Master Oficina Mecânica Vip,AUTOMOTIVO,Vitória,ES,SE
104,1128275.0188522672,4269,264.2949212584369,4.685693466116104,20260627,Prime Padaria Executivo,RESTAURANTES,Recife,PE,NE
47,1111190.0978687087,4288,259.13948177908316,4.319398642095053,20260627,Global Academia Ltda,SAUDE,Vitória,ES,SE
101,1109297.4959563864,4182,265.2552596739327,3.625984055804684,20260627,Global Pizzaria Mais,RESTAURANTES,Recife,PE,NE
76,1102663.3536685482,4355,253.19479992389165,4.145458868283405,20260627,Nova Pinturas Premium,CASA,Recife,PE,NE
87,1078682.9733217359,4221,255.5515217535503,4.241225490196078,20260627,Ideal Restaurante Vip,RESTAURANTES,Brasília,DF,CO
10,1072905.3681411063,4212,254.7258708787052,4.0865256946151955,20260627,Casa Salão De Beleza Vip,BELEZA,Recife,PE,NE
15,1046327.8654884541,4139,252.7972615338135,4.2961211211211205,20260627,Doce Banho & Tosa Premium,PET,Porto Alegre,RS,S
118,1021540.2759936919,4095,249.46038485804442,4.397017942886025,20260627,Real Desenvolvimento Web Vip,TECNOLOGIA,Vitória,ES,SE
94,1020667.13794244,4069,250.83979797061687,3.9647073791348597,20260627,Nova Banho & Tosa Executivo,PET,Manaus,AM,N
106,1012226.9136203269,4090,247.48824293895524,4.251341093117409,20260627,Bom Desenvolvimento Web Mais,TECNOLOGIA,Vitória,ES,SE
13,1005535.4626347623,4072,246.93896430126776,3.862468193384224,20260627,Casa Consultoria De Ti Vip,TECNOLOGIA,Florianópolis,SC,S
72,977311.1844401216,4019,243.17272566313054,4.140931435963778,20260627,Real Academia Mais,SAUDE,Goiânia,GO,CO
25,964061.6892803186,3997,241.19631955974944,4.037651612903225,20260627,Alfa Hamburgueria Mais,RESTAURANTES,Campinas,SP,SE
75,954306.8478819884,3940,242.20985986852497,4.6471930745015735,20260627,Ideal Restaurante Vip,RESTAURANTES,Rio de Janeiro,RJ,SE
5,923681.9730431404,3886,237.6947949158879,4.132033128506546,20260627,Nova Lava-Rápido Express,AUTOMOTIVO,Brasília,DF,CO
67,902690.3046401753,3820,236.30636247125008,4.014092140921409,20260627,Central Escritório De Arquitetura Ltda,CASA,Manaus,AM,N
42,860514.8363231379,3688,233.32831787503738,4.337184520471116,20260627,Top Barbearia Vip,BELEZA,Manaus,AM,N
3,844682.5508676093,3709,227.7386225040737,4.350755033557046,20260627,Global Banho & Tosa Vip,PET,Vitória,ES,SE
31,844490.7472026749,3700,228.24074248720942,3.8598149186763884,20260627,Ideal Oficina Mecânica Vip,AUTOMOTIVO,Goiânia,GO,CO
116,821183.6047382662,3597,228.2968042085811,4.377102534562212,20260627,Real Banho & Tosa Premium,PET,Salvador,BA,NE
