business_key,business_id,nome,cnpj,categoria,categoria_key,cidade,estado,regiao,endereco,data_abertura,num_funcionarios,email,telefone
1,BUS0001,Top Salão De Beleza Executivo,18196001338900,BELEZA,2,Goiânia,GO,CO,"Rua das Flores, 584",2006-12-21,70,contato@topsalãodebelezaexecutivo.com.br,(64) 4805-8359
2,BUS0002,Doce Assessoria De Crédito Popular,54235116155922,SERVICOS,8,Manaus,AM,N,"Rua XV de Novembro, 836",2001-12-15,69,contato@doceassessoriadecréditopopular.com.br,(26) 6100-2291
3,BUS0003,Global Banho & Tosa Vip,10341316475204,PET,5,Vitória,ES,SE,"Rua das Palmeiras, 373",2006-11-09,10,contato@globalbanhotosavip.com.br,(88) 8201-3803
4,BUS0004,Prime Veterinária Me,,PET,5,Curitiba,PR,S,"Rua das Palmeiras, 227",2020-08-13,59,contato@primeveterináriame.com.br,(29) 5169-3287
5,BUS0005,Nova Lava-Rápido Express,69653287101261,AUTOMOTIVO,1,Brasília,DF,CO,"Rua 7 de Setembro, 821",2021-07-20,9,contato@novalava-rápidoexpress.com.br,(60) 6126-8668
6,BUS0006,Doce Banho & Tosa Premium,84514627048277,PET,5,Brasília,DF,CO,"Av. Rio Branco, 944",2003-11-10,65,contato@docebanhotosapremium.com.br,(88) 4629-3504
7,BUS0007,Nova Boutique Mais,70154303911767,VAREJO,10,Brasília,DF,CO,"Av. Central, 788",2017-03-05,61,contato@novaboutiquemais.com.br,(81) 4352-5342
8,BUS0008,Ideal Veterinária Executivo,65787133150920,PET,5,Recife,PE,NE,"Av. Rio Branco, 245",2018-04-01,10,contato@idealveterináriaexecutivo.com.br,(91) 3482-4750
9,BUS0009,Master Salão De Beleza Premium,47382997376368,BELEZA,2,Vitória,ES,SE,"Av. Central, 109",2021-07-12,55,contato@mastersalãodebelezapremium.com.br,(63) 6825-1887
10,BUS0010,Casa Salão De Beleza Vip,13338726247313,BELEZA,2,Recife,PE,NE,"Av. Central, 463",2017-02-02,70,contato@casasalãodebelezavip.com.br,(12) 3764-4872
11,BUS0011,Real Studio De Pilates Executivo,02606474687234,SAUDE,7,Fortaleza,CE,NE,"Av. Paulista, 313",2006-01-19,70,contato@realstudiodepilatesexecutivo.com.br,(18) 9127-6138
