date_key,data,ano,mes,dia,trimestre,dia_semana,nome_mes,nome_dia_semana,fim_semana
20230201,2023-02-01,2023,2,1,1,2,Fevereiro,Quarta,False
20230202,2023-02-02,2023,2,2,1,3,Fevereiro,Quinta,False
20230203,2023-02-03,2023,2,3,1,4,Fevereiro,Sexta,False
20230204,2023-02-04,2023,2,4,1,5,Fevereiro,Sábado,True
20230205,2023-02-05,2023,2,5,1,6,Fevereiro,Domingo,True
20230206,2023-02-06,2023,2,6,1,0,Fevereiro,Segunda,False
20230207,2023-02-07,2023,2,7,1,1,Fevereiro,Terça,False
20230208,2023-02-08,2023,2,8,1,2,Fevereiro,Quarta,False
20230209,2023-02-09,2023,2,9,1,3,Fevereiro,Quinta,False
20230210,2023-02-10,2023,2,10,1,4,Fevereiro,Sexta,False
20230211,2023-02-11,2023,2,11,1,5,Fevereiro,Sábado,True
20230212,2023-02-12,2023,2,12,1,6,Fevereiro,Domingo,True
20230213,2023-02-13,2023,2,13,1,0,Fevereiro,Segunda,False
20230214,2023-02-14,2023,2,14,1,1,Fevereiro,Terça,False
20230215,2023-02-15,2023,2,15,1,2,Fevereiro,Quarta,False
20230216,2023-02-16,2023,2,16,1,3,Fevereiro,Quinta,False
20230217,2023-02-17,2023,2,17,1,4,Fevereiro,Sexta,False
20230218,2023-02-18,2023,2,18,1,5,Fevereiro,Sábado,True
20230219,2023-02-19,2023,2,19,1,6,Fevereiro,Domingo,True
20230220,2023-02-20,2023,2,20,1,0,Fevereiro,Segunda,False
20230221,2023-02-21,2023,2,21,1,1,Fevereiro,Terça,False
20230222,2023-02-22,2023,2,22,1,2,Fevereiro,Quarta,False
20230223,2023-02-23,2023,2,23,1,3,Fevereiro,Quinta,False
20230224,2023-02-24,2023,2,24,1,4,Fevereiro,Sexta,False
20230225,2023-02-25,2023,2,25,1,5,Fevereiro,Sábado,True
20230226,2023-02-26,2023,2,26,1,6,Fevereiro,Domingo,True
20230227,2023-02-27,2023,2,27,1,0,Fevereiro,Segunda,False
20230301,2023-03-01,2023,3,1,1,2,Março,Quarta,False
20230302,2023-03-02,2023,3,2,1,3,Março,Quinta,False
20230303,2023-03-03,2023,3,3,1,4,Março,Sexta,False
20230304,2023-03-04,2023,3,4,1,5,Março,Sábado,True
20230305,2023-03-05,2023,3,5,1,6,Março,Domingo,True
20230306,2023-03-06,2023,3,6,1,0,Março,Segunda,False
20230307,2023-03-07,2023,3,7,1,1,Março,Terça,False
20230308,2023-03-08,2023,3,8,1,2,Março,Quarta,False
20230309,2023-03-09,2023,3,9,1,3,Março,Quinta,False
20230310,2023-03-10,2023,3,10,1,4,Março,Sexta,False
20230311,2023-03-11,2023,3,11,1,5,Março,Sábado,True
20230312,2023-03-12,2023,3,12,1,6,Março,Domingo,True
20230313,2023-03-13,2023,3,13,1,0,Março,Segunda,False
20230314,2023-03-14,2023,3,14,1,1,Março,Terça,False
20230315,2023-03-15,2023,3,15,1,2,Março,Quarta,False
20230316,2023-03-16,2023,3,16,1,3,Março,Quinta,False
20230317,2023-03-17,2023,3,17,1,4,Março,Sexta,False
20230318,2023-03-18,2023,3,18,1,5,Março,Sábado,True
20230319,2023-03-19,2023,3,19,1,6,Março,Domingo,True
20230320,2023-03-20,2023,3,20,1,0,Março,Segunda,False
20230321,2023-03-21,2023,3,21,1,1,Março,Terça,False
20230322,2023-03-22,2023,3,22,1,2,Março,Quarta,False
20230323,2023-03-23,2023,3,23,1,3,Março,Quinta,False
